review,actual,predicted
capai kurang presisi tempered glass sangat pas terima kasih,1,0
luar biasa sering sekali dapat jadi senang,1,1
saya mau jam tangan yang ada sim kartu bisa dipake telepon bagaimana kalau saya tukar,0,0
terima kasih lazada kondisi barang oke,1,0
barang bagus datang cepat benar benar ada tempered glass saya kira dorongan ternyata beneran,1,1
terima kasih barang sesuai dengan pesanan,1,0
itu benar harga tiga puluh enam sembilan ratus delapan puluh delapan,0,0
awal khawatir karena tidak bisa nyala tapi setelah dimas biarin ada lama akhir nyala semua aplikasi berjalan dengan baik dengan harga begitu oke lah,0,0
barang sih oke tertawa yang saya seakan harga saja kok bahkan naik,1,0
untuk sementara bagus semoga awet,1,1
parah ini barang dari tangan tujuh belas belum juga sampai bahkan dibilang ninja van gagal dikirim dan akan kembalikan lazada secara sepihak karena saya dibilang mau membatalkan pesanan ketemu saja tidak sama kurir nah sama kejadian dengan yang belum diterima tapi status sudah diterima,0,0
aman safet barang sesuai pesanan sampai dengan cepat,1,1
pas sekali untuk anak sekolah jadi aku tidak terlambat lagi sampai setelah,1,1
pesan incredible aksesori telepon genggam tapi yang datang kenapa dari tujuh sebentar indonesia tidak presisi capai anti shock kelabu tempered glass tidak sesuai kecilan pantes saja makin murah harga hati hati,1,1
bagus sesuai ekspektasi tertawa,1,1
awet sampai sekarang tidak mati mati jam nya,0,0
saya pikir bisa digunakan langsung telepon dengan diri sim kartu ternyata dengan mengunakan bluetoth sehingga tidak bisa digunakan jarak jauh,0,0
pesanan saya nomor nol enam puluh satu nol enam puluh satu nol dan nomor resi larut nol nol nol nol nol nol dibilang sudah sampai dan sudah terima padahal saya kasih alamat sesuai dan benar saya pesan unit telepon genggam tapi barang belum saya terima,0,0
sangat membantu buat anak ke mana ke mana tidak ribet terima kasih lazada,1,0
barang sudah sampai realpict juga tidak menyesal deh belanja lazada terima kasih lazada,0,0
alhamdulilah,1,1
belum sampai,0,1
terima kasih lazada telepon genggam sudah sampai,1,1
kembalikan harga sembilan ratus sembilan puluh sembilan nol,0,1
keren asli plus kartu garansi pengiriman super cepat tapi apa memang tidak dapat handsfree kasih,1,1
jam cognos hitam,1,0
secara keseluruhan bagus pertahankan pelayanan yang seperti ini terima kasih laza atau eselernya,1,1
ukuran pas sekali jadi enak pakai tertawa bahan kaku mungkin karena masih baru terima kasih lazada dan selera,0,0
layangan ninja express buruk,1,0
mantap barang tapi untuk alamat saya itu kadang lambat untuk sampai kepada saya sementara barang sudah ada kota saya,1,1
barang sudah terima sesuai dengan pesanan tapi penjelasan kurang rapi terima kasih lazada,1,1
harga naik seratus nol tapi tetap,1,1
puas sekali,0,1
warna tidak sesuai sama pesanan saya saya pesan warna hitam kenapa tidak sesuai,0,0
barang sesuai dan produk bagus,0,1
mantap harga kembalikan sembilan ratus sembilan puluh sembilan nol dong,0,1
sangat sangat kecewa sama barang tidak sesuai sama barang kata katalog untuk xiaomi redmi lima tapi yang datang xiaomi empat itupun tidak cukup untuk xiaomi empat juga,0,0
barang lama sampai coba telepon genggam dan powerbank tapi mbak berfungsi mengecewakan,0,0
kualitas barang sesuai dengan harga produk saat dinyalakan dapat hidup dengan baik tertawa belum diet semua menu nya,0,0
mata juragan terima kasih,1,1
bagus dan sesuai permintaan terima kasih lazada,0,1
sesuai dengan promo nya,1,1
harus harga diskon jangan bahkan naik,1,1
terima kasih lazada pesanan sesuai dengan yang pesan dan pengiriman sesuai dengan batas waktu memuaskan,0,1
bagus pekerjaan terima kasih kamu,1,1
terima kasih barang cepat sampai masih diseret lagi biasa segel sudah buka tapi yang ini masih segel terima kasih lazada sukses selalu yah,0,1
tidak sama seperti gambar,0,0
barang sudah diterima sabtu mohon faktur,1,1
sesuai deskripsi namun belum dicoba,1,1
mantap barang sesuai dengan yang dipesani pengiriman cepat,1,1
mendarat dengan selamat meskipun agak lama tapi mantap kualitas cakep terima kasih lazada,1,1
bagaimana sih kan harga sudah dea tiga puluh enam enam ratus sembilan puluh satu tapi pas datang barang harga berubah jadi empat puluh delapan enam ratus sembilan puluh satu yang benar donk tolong perhatian lagi saya pelanggan sekali belanja lazada juga lumayan banyak tolong yadi cek lagi mengenai harga kita kan jadi mersa tertipu juga,0,0
barang sudah sampai terima kasih,0,1
barang mendarat dengan selamat,1,1
pengiriman cepat sehari sampai tertawa sayang dus telepon genggam rusak penyok penyok mohon lebih hati hati dalam pendistribusian,1,1
kurir pengiriman tidak ramah untuk lazada saya ucapkan terima kasih atas paket untuk kurir saya kurang nyaman tidak ramah,0,1
pesan hari kamis baru datang hari rabu sempat cemas,0,1
jangan lama lama kalau datang,0,1
pokok puas sekali sudah,1,1
terbaik harga,1,1
sudah dapat nomor pesanan tiba tiba main batin saja pesan susah amat sekali dapat batin dengan alesan kendala stok gudang kecewa pokok mah,0,1
cepetan tapi sayang penjelasan kurang rapi,1,1
barang sudah sampai dengan selamat penjelasan rapi lama pengiriman hari sudah dicoba kondisi baik baik saja semoga awet deh ke depan terima kasih lazada,0,1
kenapa harga jadi naik,1,1
itu sudah empat tidak belum iya juragan,1,0
pengiriman sangat cepat barang dalam kondisi baik cukup memuaskan,1,1
bahan lumayan tertawa desain tidak sama dengan iklan dan foto jadian jelek mudah rusak atau sobek relseleting tidak bagus beda bangat pokok kecewain deh kalau bisa toko ganti saja jualan tidak sesuai sampai yang diajarkan jangan sampai merusak reputasi lazada hati hati kalau membeli cek momen pembeli sampai jelas itu informasi pengalaman,0,0
paket cepat sampai penjelasan rapi sesuai pesanan dan aman sampai tujuan,1,1
browser tidak bisa baca format tulisan kotak kotak biasa cina jadi saya bingung tidak bisa facebok dan whatsapnya,0,0
barang sesuai dengan gambar barang datang cepat pokok oke lah,0,0
pengiriman sangat baik cepat tertawa satu hari,1,1
tinggal menanti yang rey,1,1
penjelasan rapi pengiriman cepat,1,1
lucu sekali kak direkomendasikan sekali buat jam ini harga terjangkau kualitas baguslah terima kasih selera dan lazada,0,0
sesuai foto,1,0
baterai cepat kalau,0,0
terima kasih lazada saya bisa membelikan anak dan istri saya telepon genggam yang murah tapi sangat berkwalitas terima kasih,1,1
barang mantap,1,1
mantap bisalah,1,1
tidak menyesal deh belanja daring lazada,0,1
suka barang dan semoga awet terima kasih selera dan lazada,0,0
buat telepon genggam harga begitu sih menurut saya oke,1,1
barang serius pesanan pengiriman kurang bagus,1,0
sesuai deskripsi semoga ada lagi promo redmi lima nya,1,1
terima kasih lazada pesanan telah sampai kondisi bagus,1,1
terima kasih yah layangan cukup bagus datang sesuai harapan terima kasih banyak banyak untuk lazada jadi ingin senja terus saya,0,1
saya minta dibatalkan karena kata teman saya sudah pesan tempat lain nomor pesanan saya tiga miliar enam belas juta lima ratus empat puluh delapan ribu tujuh ratus empat puluh enam,0,0
pokok direkomendasikan selera,0,1
keren tidak pecah terjaga dan cepat juga direkomendasikan pokok terima kasih iya,0,0
sedikit kecewa,0,0
puas selalu,1,1
barang terima dengan bagus tetapi tidak tidak ada fitur terekam video atau pun sms seperti deskripsi,1,1
barang yang dikirim sesuai seperti gambar sangat puas harga murah barang bagus,1,0
bagus cocok,1,1
pengiriman cepat dan sesuai pesanan mudah mudahan awet tertawa susah dapetin,1,1
barang untuk harga begitu juara dikelasnya,1,1
bagaimana dengan pesanan saya sampai sekarang belum sampai,1,0
mantap satu hari sampai semoga barang awet,1,1
jam keren,0,0
biar kita jadi agen ritel pak,1,1
harga produk sangat baik terima kasih lazada,1,1
akhir bisa juga dapat flash sale redmi lima terima kasih lazada,1,1
semoga depan terdapat varian warna lain,1,1
alhamdulilah barang sudah datang meski agak terlambat saran saya jaga mutu dan kepercayaan pelanggan terima kasih kasih banyak buat gawai holics dan lazada,0,1
produk sudah sampai dan tepat pada waktu semoga awet terima kasih lazada dan selera,1,1
cepat kemarin pesan tadi sore sampai terima kasih,1,1
barang diterima cepat sekali malam bayar siang sudah sampai dicoba telepon genggam layar matapun langsung nyala angin juga lumayan kenceng mantel deh pokoknya,0,0
sedikit cerita waktu itu pas masjid pakai jam tangan ini tapi mode dalam adan umum otomatis suara akan bunyi ketika ada sms nah siswa tamtama yang berada samping saya tertarik dan menanyakan harga jam tangan serta fungsi langsung saya jelaskan dengan kriteria yang sama seperti lazada dan alhamdulilah sampai saat ini siswa mulai bayak yang minat tuk beli lumayan rezeki tidak ke mana mungkin kalau pertama tidak beli jam tangan ini tidak akan dapat keuntungan dari joki buat beli jam tangan ini mantap lah bagus pekerjaan lazada,1,0
kualitas terbaik kelas harga murah dan spesifikasi sangat memuaskan terima kasih kasih lazada terima kasih kasih xiaomi,1,1
pesanan sesuai dengan yang diajarkan bagus,0,1
produk sudah dibuka terlebih dahulu seperti soal dalam telepon genggam sudah ada kartu tiga sangat aneh untuk produk baru masa kartu sim sudah ada di dalam positif thinking mungkin saja mereka menetes telepon genggam dahulu secara keseluruhan belum ada masalah apa apa telepon genggam kelengkapan juga bagus kartu garansi manual bok dan devi pengiriman agak lama dari biasa tiga hari ini butuh waktu lima hari secara keseluruhan tujuh lima atau sepuluh nilai dari saya,1,1
bagus barang cepat sekali datang terima kasih lazada,0,1
turunin harga lagi dan banyak stok,1,1
cepat sekali datang keren lazada penjelasan rapi teratas teratas teratas,1,1
agak lama datang tapi terbayarkan dengan performa telepon genggam kwkwkwkwkwk,1,1
barang sudah sampai tapi tidak tahu cara terima barang apa ini gina terima kasih lazada jam oke,0,0
tidak bisa baca kartu memor dan sim padahal sudah benar jaraknya,0,1
harga pas,1,1
barang datang sesuai estimasi packaging bagus tidak ada yang cacat terima kasih lazada,0,1
jam keren sesuai dengan gambar,0,0
penjelasan rapi temperglas aman ada kardus khusus oke sudah,1,1
murah dan berkualitas terima kasih,1,1
penjelasan rapi terima kasih,1,1
sampai medan berapa hari kira kira bang,1,0
mantap satu hari barang sampai rumah sudah murah telepon genggam bagus sesuai dengan deskripsi,1,1
meski keluar kurir tetap mau kirim dan ketemu dijalin,1,1
mantap telepon genggam,1,1
minggu antar mantap,1,1
cepat respon cepat pengiriman,1,1
kartu garansi tidak ada,1,1
pesanan sampai tertawa dalam tiga hari kerja teratas saat saya buka penjelasan lihat bod jam lecet tergores dibagikan dekat kamera kecewa mau retur malas sekali harus menunggu lagi lima tujuh hari mohon diperhatikan bod barang saat penjelasan akan dikirim jangan kecewa konsumen,0,0
jam bagus berfungsi semua tidak ada yang cacat tapi sayang kardus tidak sesuai gambar yang penting sih jam bagus dan berfungsi semua puas deh beli lazada terima kasih lazada sukses selalu,1,0
mantap bagus bel,0,1
tidak menyesal belanja lazada barang bagus mulus dan rapi penjelasan nya,0,1
minta hitam dikirim putih penjelasan tidak rapi,0,1
barang sudah sampai cepat sekali penjelasan rapi barang langsung bisa dipakai pokok keren sekali terima kasih lazada,1,0
barang terjalin lazada oke oke,1,1
kualitas produk sangat baik terima kasih lazada,1,1
terima kasih untuk yang kesekian kalinya,1,1
mantap pengiriman hari sampai,1,1
mau baru nulis alasan barang lama sampai tapi barang oke lah dengan harga begitu,0,1
produk bagus sekali,1,1
terima kasih lazada telah memberikan yang terbaik dan selama flash sale saya tertawa terlewat satu kali saja lebih saya dapat telepon genggam ini empat kali terima kasih banyak,1,1
bagus barang sesuai pengiriman tepat terima kasih lazada,0,1
barang cepat sampai sesuai sama gambar terima kasih lazada,0,0
hari langsung sampai bagus barang,1,1
mantap,1,1
kalau bisa harga jangan dinaikkan dung semua baik,1,1
barang oke pengiriman juga cepat sekali iya sehalus gratis kartu perdana tidak sih,1,1
keren pengiriman cepat penjelasan juga bagus semoga tahan lama iya jam nya,0,0
barang sudah sampai dan sama dengan apa yang saya pesan terima kasih,0,0
teratas deh semuanya,1,1
baik barang tidak ada yang lecet semua oke nomor palsu,1,1
pengiriman cepat terima kasih lazada,1,1
jam memang bagus tapi saya yakin harga awal sebelum diskon sampai lima ratus ribu tertawa,0,0
sosok penyok semua tidak niat kali iya mau agak tidak enak soal biasa beli dani juga tidak begitu,1,0
perjuangan berbuah manis,1,1
jam bagus sesuai dengan harga terima kasih lazada,0,0
beli harga delapan puluh ribu dan sekarang harga lima puluh ribu flashdisk rusak setelah satu hari yang jadi masalah selera bilang baran asli padahal saya sudah tahu dari awal kalau ini saran tolong adik ulang deskripsi barang pastikan barang asli atau palsu,0,0
murah berkualitas,1,1
barang sesuai deskripsi,1,1
paket sangat cepat datang estimasi lima tujuh hari tapi tiga hari sudah sampai kemasan oke dan barang juga oke terima kasih lazada,1,1
barang yang dipesani sesuai gambar pengiriman cepat penjelasan rapi dan murah harga inti adalah puas sekali,1,0
barang datang cepat dan bagus sesuai gambar awal jam cewek mati ternyata ada seangkatan yang ganjil saja tapi alhamdulilah bisa terima kasih lazada,0,0
banga sudah saya terima penjelasan rapi dan juga lengkap tidak ada yang cacat belum saya coba tapi semoga awet barang terima kasih lazada,0,0
pengiriman cepat dan rapi sesuai gambar tapi bagaimana pakai kok bloethot tidak betfungsi bagaimana cara supaya ngejepret kameranya,0,0
lama sekali sampai barang dikira tidak jadi dikirim maka sempat dibatalin ternyata dikirim juga jam lumayan bagus semoga awet deh,0,0
sudah pemesanan semoga saja barang tidak mengecewakan tiga amin,0,0
mau barang saya sudah kirim tapi kok tidak ada email verifikasi informasi nomor resi iya saya kemarin ikutan flash sale mohon konfirmasinya,1,1
akhir dapat juga,1,1
makash lazada barang sudah sampai walaupun murah tapi tidak murahan,0,1
super,1,1
pengiriman cepat barang bagus kurir ramah pelayanan oke sering sering flash sale xiaomi redmi lima tertawa,1,1
pesanan sudah diterima respon cepat kondisi baik barang sesuai deskripsi penjelasan baik areal bagus bagus terima kasih lazada terima kasih selera,1,1
pesanan saya belum diterima sampai saat ini padahal sudah lewat tangan yang ditentukan tolong tindaklanjuti,0,0
walaupun pengiriman agak lama tapi saya puas karena jam ada fitur anti hilang terus kalau ada pemberitahuan telepon genggam langsung masuk jam keren lah pokoknya,0,1
pesan dua biji yang satu datang cepat yang satu lama sekali hadir,1,1
semua baik baik saja saya puas terima kasih,1,1
barang terima tepat waktu dengan kondisi baik mintalah terima kasih kasih lazada,0,1
kemarin iseng iseng ikutan flash sale tanggal empat atau satu atau satu untuk pertama kali alhamdulilah ternyata dapat barang sudah sampai hari setelah enam atau satu atau satu sesuai dengan estimasi waktu yang diberikan barang dalam kondisi baik warna sesuai pesanan packaging cukup lah inti saya puas terima kasih lazada dan xiaomi,1,1
barang bagus dan murah cepat sampai tapi yang datang kok dimensi tidak sesuai iya ini bagaimana tanggung jawab saya pesan redmi tidak lima yang datang bahkan buat telepon genggam apan dan dimensi kecil jadi bagaimana saya rugi,1,0
redmi lima tam oke bagus penjelasan rapi bisa bayar di tempat pula tertawa sayang kecepatan pengiriman agak lama,1,1
produk standar harga promo pengiriman cepat paket rapi,0,1
semua customer merebut kesempatan dapat xiaomi redmi lima jadi xiaomi paling banyak dipakai orang indonesia saudara laki-laki xiaomi dan lazada,1,1
barang sampai keesokan hari kualitas barang juga bagus di atas ekspektasi dari harga yang diajarkan,1,1
beli tali tidak bisa baca sim kartu,0,0
promo murah barang cepat,1,1
pengiriman cepat hari ini pesan besok barang sudah sampai penjelasan aman,1,1
wah jam di luar degan saya ternyata lebih bagus dan sampai juga cepat sekali packingan juga rapi kok terima kasih lazada senang bisa beli barang dilanda barang bagus hasil puas semoga lancar terus iya lazada terima kasih,0,0
mantap pengiriman cepat penjelasan rapi meskipun tertawa pakai plastik over mantap sudah tiga kali pesan begini terima kasih yourbest choice terima kasih lazada,0,1
pengiriman cepat sesuai pesanan tempered glass aman karena ada tempat sendiri,1,1
harga boleh murah tapi jangan tipu donk bos gambar sama asli iya beda jauh air iya tidak kepada itu jadi basi,0,0
bagus jam pengiriman juga sangat cepat kemarin saya baru pesan hari ini ternyata sudah sampai terima kasih lazada,0,0
produk ini bagus sekali terbaik lah dikelas pengiriman cepat yang tidak ikutan flash sale produk ini rugi,0,1
barang baru keterima dengan baik puas dengan barang terima kasih lazada,0,1
barang sampai dengan selamat terima kasih lazada,1,1
terima kasih lazada barang datang tepat waktu,1,1
malam pesan pagi sudah sampai tangan barang lumayan sesuai harga cukup puas,0,0
alhamdulilah sampai dengan selamat dan cepat terima kasih lazada dan kurir van ninja,1,1
jauh mantap sekali,1,1
barang saya sampai sekarang kok belum sampai juga,0,0
puas dengan produk nya,0,1
berfungsi dengan baik terima kasih,0,0
lumayan bagus sih tapi untuk ukuran terlalu besar tidak sesuai sama gambar warna juga bukan pink tapi lebih emas buat oke,0,0
masih belum juga ada kemauan yang benar saja satu tiga ratus sembilan puluh sembilan nol untuk power bank kembalikan voucher satu lima nol redmi lima dibandrol satu empat puluh sembilan nol gila benar,1,1
murah dan berkualitas terima kasih lazada dan gawai olin,0,1
yang bilang barang terkirim lama lebih baik beli toko daring saja lima menit barang sudah tangan harga toko daring tertawa selisih lima lima ribu saja saudara laki-laki kalau tidak mau menunggu lebih baik beli daring maka,0,1
barang bagus pengiriman cepat,1,1
bagus jam sesuai gambar dan berfungsi dengan baik pengiriman sembilan hari setelah pesan terima kasih lazada,0,0
model bagus dan pengirimanyapun cepat tapi sayang barang ada yang mati tolong dong buat lazada jangan jualan barang mati terima kasih,0,0
kok barang yang kirim lain yah sama yang pesan,1,0
datang kapan iya juragan,0,1
ketika saya memasukkan kartu memori ke dalam jam cognos untuk menetes musik ternyata suara tidak bisa kalau bisa ditukar dengan yang lain atau pulangan uang saya,1,0
tidak asli suara cempreng,1,1
berat,0,1
agak susah dapetin,1,1
janji dikirim tanggal sembilan pas tanggal sembilan siang hari beneran dikirim barang barang dikelas rapi power bank bagus ada tertawa tidak ada kabel jadi powerbank saja terima kasih lazada dan selera sukses selalu,0,0
pengiriman cepat terima kasih lazada,1,1
barang penjelasan bagus,0,1
bagus,0,1
barang bagus mulus tertawa lecet dikit tombol tertawa kok bisa iya saya beli lima ribu baru minggu turun jadi lima kesel deh lain maknyos,0,0
kecewa berat dengan lazada,0,1
pesan kemarin malam tadi sore datang alhamdulilah tertawa bagus lazada,0,1
barang keren,1,1
cepat sampai barang bagus oke terima kasih,1,1
lazada teratas sudah pokoknya,1,1
puas sih bisa dapat telepon genggam harga terburu dan murah apalagi cepat sekali sampai dan berjuang sekali dapetin tapi setelah aku buka dan aku pakai harga begitu pantes saja sih soal tidak dapat headset tulisan kardus dapat garansi tam tapi dalam tidak ada kartu garansi dan perdana tiga tidak bisa dipake karena minta indonesia output indonesia output sudah coba browsing dan masukkan semua indonesia tapi tidak bisa mubazir sekali kan iya ada plus minus lah tapi memang tidak wah yang aku bayangin,0,1
bagus,1,1
terima kasih kiriman cepat barang oke,1,1
barang yang saya terima plot sim kartu tidak ada sinyal pas kasih sim kartu tolong bertanggung jawaban lazada,1,0
baru kemarin jam saya datang tapi sudah jatuh dan itu sore pecah sehingga saya sentuh tidak mau bisa perbaiki apa tidak iya kira kira harga berapa apakah lama waktu perbaikan terima kasih lazada,0,0
pengiriman cepat packingan asal asala atau saya rapi warna tidak sesuai pesanan pemesanan warna hitam yang datang warna putih padahal keterangan packingan tertera hitam atau hitam pelanggan kecewa,1,0
produk oke sesuai pesanan,0,1
bagaimana sih saya sudah tranfers barang tidak sampai pesanan batalkan maksud apa tepat uang tidak kembali menipu,1,0
warna biru bagus sekali cocok buat cewek,1,1
terima kasih sesuai dengan deskripsi mantap,1,1
pengiriman lambat padahal estimasi tertawa tiga hari tapi sudah satu minggu tidak datang datang saya kira tidak akan datang mohon untuk pengirim perbaiki lagi agar konsumen yang beli lazada tidak kecewa mengenai pengirim,1,0
barang sesuai pesanan pengiriman cepat bagus pekerjaan,0,0
barang telah diterima dengan baik,1,1
terima kasih kasih lazada atas jam iya lumayan lah sesuai dengan harga dan pengirim juga cepat pesan tglsepuluh tanggal satu satu siang barang sudah sampai dan sudah cek semua berfungsi dengan baik tetapi pas buka aplikasi kamera tidak bisa tapi sekali lagi keren deh ini jam terima kasih lazada sukses terus,0,0
saya suka belanja sini,1,1
sangat suka dengan jam bagus dan elegan sesuai dengan gambar terima kasih lazada semoga makin jaya dan selalu menjaga kualitas barang nya,0,0
saya pesan buat xiaomi yang lima lima inci bahkan kirim yang lima inci aduh bagaimana ini bisa super tidak,0,0
lazada yang terbaik promo,1,1
semua bagus produk dan pengiriman juga terima kasih,1,1
man yang tepi,1,1
telepon genggam murah dengan kualitas langit semoga awet,1,1
semoga alas sale lanjut dapat lagi,1,1
sudah sekian kali dapat flash sale xiaomi redmi lima barang mantap jiwa terima kasih lazada dan injakan,1,1
produk diterima sesuai dengan deskripsi dan penjelasan aman terima kasih kamu lah,1,1
barang bagus nan murah meriah siap disebut,1,1
akhir dapat telepon genggam flash sale juga setelah sekian lama menunggu,1,1
kurir ramah cepat sampai,1,1
barang sampai cepat terus keren juga barang tidak murahan terima kasih kamu,0,1
alhamdulilah barang diterima dalam keadaan baik dan sehat semoga telepon genggam tidak ada masalah untuk depan tertawa sayang tidak ada kartu garansi iya kuitansi juga harus minta dulu lewat chat baru email faktur pembelian terima kasih,1,1
barang tiba dengan selamat utuh bubble bungkus tebal sekali jadi tempered glass aman tempered glass juga pas untuk redmi lima bagus sudah pokok,1,1
terima kasih juragan paket sudah sampai tapi sayang kenapa tidak ada kartu garansi iya padahal itu perlu sekali saat ada kerusakan,1,1
kecewa kalau kiriman lewat ninjaexpres lama pengiriman iya kacau sekali,1,0
pas dibuka bagus saja,1,1
terima kasih lazada pengiriman lancar sehari,1,1
bagus itu saja,1,1
flashdisk telepon genggam enam puluh empat tidak ini walaupun kapasitas besar tapi bentuk mungil dan menarik,1,1
sudah digunakan cukup puas,1,1
bagus pelayanan baik,1,1
ukuran tidak cocok dengan ukuran sebenar tidak standar,0,0
tertawa lewat datang barang langsung dijual satu,1,1
barang bagus sesuai dengan deskripsi produk kemasan juga rapi datang tepat waktu seperti yang diestimasikan terima kasih lazada nomor mengatur waktu lepas tapi tidak masalah,0,0
terima kasih produk cepat sampai bagus buat kado terima kasih iya,1,0
ketika dibuka tempered glass sudah retak patah dan jadi sampah,1,1
barang kapan sampai,0,1
pengiriman cepat penjelasan oke pokok adalah yang terbaik semoga saya dapat lagi,1,1
banyak stok dong,1,1
barang bagus perbaiki sender lazada biar saat alas tidak down,0,1
sesuai sangatlah,1,1
tebal bublewrap nya,1,1
mutu barang sesuai harga lumayan buat buat kue yang tidak terlalu banyak motor cepat panas,0,0
harus hari kamis kemarin sudah sampai tapi sampai hari ini belum juga sampai,1,0
dapat,1,1
barang memuaskan harga super murah tapi tidak murahan pengiriman cepat sekali pemesanan tanggal tiga puluh satu januari mendarat tanggal februari walaupun harus dengan perjuangan dapetin ini barang dan akhir dapat dan puas sekali terima kasih lazada,1,1
telepon genggam mantap harga bersahabat,1,1
barang cepat sekali sampai hari selasa hari kamis sudah sampai barang bagus penjelasan rapi kurir juga ramah,1,1
cepat,1,1
barang oke multifungsi sangat banyak seperti whatsapp sms telepon browser dulu pokok keren habis,1,1
kamera bagus,1,1
barang sampai cepat sekali tidak sampai tiga puluh enam jam dari pesanan berat pelayanan barang juga tidak mengecewakan,0,0
oke juga sesuai spesifikasi,1,1
perbaiki proses penjelasan juragan,1,1
tempered glass tidak sesuai kecilan,1,1
tidak bisa untuk telepon genggam opo,0,0
terima kasih lazada semoga terus saya tidak pernah kecewa sama lazada,0,0
bagaimana sih saya pesan sampai empat batalkan terus sampai sekarang,0,0
sudah beli kali datang cepat semua,1,1
lumayan bagus lah mantap,0,1
sudah diterima barang seperti yang harapkan bagus,1,1
barang sesuai dengan foto terima kasih lazada sudah menjual produk cukup bagus dan harga terjangkau,0,1
packaging aman tertawa barang belum dicoba sih semoga produk bagus dan awet iya terima kasih lazada,1,1
bagus aku suka,1,1
terima kasih dan sukses selalu,1,1
harga mantap dan kualitas telepon genggam juga,1,1
pengiriman rapi barang sampai dengan selamat tidak ada yang pecah seperti komentar komentar sebelum,1,1
kenapa tempat saya sudah tidak bisa lagi bayar barang tempat,1,0
barang bagus penjelasan rapi dan aman setelah dipakai juga nyaman tidak miring terima kasih lazada,0,1
telepon genggam oke masih baru dan yang pasti tidak mengecewakan pengiriman juga cepat,1,1
barang bagus penjelasan rapi satu hari barang sudah sampai,1,1
okelah sesuai dengan harga memang sih kurang kuat apalagi kalau dibawa tidur bisa lepas kepala headset,1,0
bungkus penyok dan barang lecet dan tidak bisa berdiri akhir saya akan saya kasih lem tembak baru bisa berdiri,0,0
suara kaya telinga di tempat sweater telepon genggam tidak ada bass kata bisa ngerasa headsetmya tombol terima cal juga mendem tidak bisa dipake,0,0
ada uang susah beli ini barang,0,1
saya bayar tempat saja,1,1
mana yang benar ini barang belum diterima tapi cek paket pengiriman sudah ditri atau ampa,0,0
perbaiki sistem dong saat flash sale database sender lambat kartu gratis tidak bisa dipake harus registrasi perlu pin center,1,1
barang sudah sampai namun tidak ada kartu garansi iya bagaimana buat klaim kalau ada trouble,1,1
terima kasih lazada barang bagus sesuai gambar terima kasih banyak suka sekali,0,0
bahan oke seperti enak dipakai,0,0
penjelasan lebih bagus dengan kardus lazada dan pengiriman tertawa satu hari terima kasih lazada,1,1
mancung mania mantap,1,1
baru sehari pakai sudah rusak tidak bisa dipake lagi,1,0
tidak kaya yang pesanan terakhir karena pesanan terakhir saya tadi asal dikasih menerima orang lain bukan telepon dulu nomor yang tertera pesanan,1,0
pengiriman cepat tidak seperti jadi indonesia yang flash sale seperti kotoran,1,1
